year,month,month_tx,value,disabilities,fatalities
2000,1,January,1434,13,7
2000,2,February,1404,21,4
2000,3,March,1556,20,5
2000,4,April,1422,22,8
2000,5,May,1607,32,7
2000,6,June,1572,19,13
2000,7,July,1556,18,3
2000,8,August,1703,18,11
2000,9,September,1589,18,6
2000,10,October,1540,16,8
2000,11,November,1184,10,5
2000,12,December,1199,15,6
2001,1,January,1461,16,1
2001,2,February,1220,8,5
2001,3,March,1350,4,6
2001,4,April,1296,9,7
2001,5,May,1420,11,3
2001,6,June,1349,9,5
2001,7,July,1575,7,4
2001,8,August,1792,10,5
2001,9,September,1373,16,3
2001,10,October,1543,10,8
2001,11,November,1174,8,8
2001,12,December,998,11,4
2002,1,January,1422,13,10
2002,2,February,1201,10,7
2002,3,March,1308,8,3
2002,4,April,1389,7,5
2002,5,May,1244,7,5
2002,6,June,1319,8,6
2002,7,July,1378,11,2
2002,8,August,1380,13,9
2002,9,September,1183,7,5
2002,10,October,1340,10,8
2002,11,November,993,12,2
2002,12,December,951,8,7
2003,1,January,1147,10,6
2003,2,February,1002,11,3
2003,3,March,1157,4,4
2003,4,April,1131,14,7
2003,5,May,1092,10,2
2003,6,June,1132,10,8
2003,7,July,1165,6,3
2003,8,August,1180,18,3
2003,9,September,1167,12,8
2003,10,October,1136,15,5
2003,11,November,908,6,3
2003,12,December,907,11,1
2004,1,January,1035,6,4
2004,2,February,985,12,7
2004,3,March,1144,10,4
2004,4,April,1129,15,3
2004,5,May,1162,11,3
2004,6,June,1329,7,7
2004,7,July,1326,9,2
2004,8,August,1294,5,6
2004,9,September,1204,9,5
2004,10,October,1192,11,4
2004,11,November,983,11,2
2004,12,December,953,14,7
2005,1,January,1134,12,2
2005,2,February,1096,13,1
2005,3,March,1148,9,6
2005,4,April,1201,13,5
2005,5,May,1212,10,5
2005,6,June,1254,14,7
2005,7,July,1258,18,3
2005,8,August,1423,8,7
2005,9,September,1246,12,5
2005,10,October,1248,12,4
2005,11,November,1041,15,6
2005,12,December,984,6,5
2006,1,January,1178,12,7
2006,2,February,1098,7,5
2006,3,March,1183,10,1
2006,4,April,1036,13,9
2006,5,May,1225,11,9
2006,6,June,1236,13,3
2006,7,July,1277,10,6
2006,8,August,1475,9,2
2006,9,September,1178,5,1
2006,10,October,1188,6,8
2006,11,November,1068,22,4
2006,12,December,894,7,2
2007,1,January,1190,9,4
2007,2,February,1080,2,2
2007,3,March,1224,16,3
2007,4,April,1035,13,7
2007,5,May,1218,9,0
2007,6,June,1182,14,4
2007,7,July,1212,13,8
2007,8,August,1390,11,7
2007,9,September,1172,11,6
2007,10,October,1257,11,7
2007,11,November,909,12,4
2007,12,December,891,10,3
2008,1,January,1150,12,6
2008,2,February,1068,15,5
2008,3,March,1063,4,2
2008,4,April,1108,10,4
2008,5,May,1109,7,7
2008,6,June,1167,9,4
2008,7,July,1245,8,3
2008,8,August,1181,10,4
2008,9,September,1148,14,3
2008,10,October,1143,9,11
2008,11,November,836,8,1
2008,12,December,861,10,3
2009,1,January,983,8,3
2009,2,February,887,13,4
2009,3,March,921,7,2
2009,4,April,891,11,4
2009,5,May,857,5,3
2009,6,June,907,8,5
2009,7,July,874,11,2
2009,8,August,1002,8,1
2009,9,September,878,12,4
2009,10,October,875,10,3
2009,11,November,756,5,2
2009,12,December,714,7,2
2010,1,January,796,3,4
2010,2,February,772,5,0
2010,3,March,851,6,1
2010,4,April,827,7,4
2010,5,May,798,4,6
2010,6,June,999,10,6
2010,7,July,846,10,3
2010,8,August,1021,5,3
2010,9,September,952,12,1
2010,10,October,912,10,6
2010,11,November,732,9,3
2010,12,December,727,8,5
2011,1,January,893,13,1
2011,2,February,785,9,3
2011,3,March,899,13,2
2011,4,April,828,11,2
2011,5,May,861,10,1
2011,6,June,937,11,4
2011,7,July,911,6,2
2011,8,August,1096,3,3
2011,9,September,923,9,4
2011,10,October,920,10,5
2011,11,November,795,11,4
2011,12,December,700,8,4
2012,1,January,851,9,2
2012,2,February,819,10,3
2012,3,March,914,12,5
2012,4,April,765,7,2
2012,5,May,849,5,5
2012,6,June,804,7,2
2012,7,July,855,5,4
2012,8,August,913,6,2
2012,9,September,788,4,5
2012,10,October,800,3,1
2012,11,November,596,5,4
2012,12,December,595,5,1
2013,1,January,752,6,3
2013,2,February,651,8,5
2013,3,March,700,6,3
2013,4,April,747,4,3
2013,5,May,774,10,1
2013,6,June,766,7,3
2013,7,July,796,6,4
2013,8,August,826,9,3
2013,9,September,806,5,3
2013,10,October,787,9,5
2013,11,November,613,9,5
2013,12,December,606,8,3
2014,1,January,723,8,1
2014,2,February,702,7,5
2014,3,March,766,8,2
2014,4,April,684,3,5
2014,5,May,721,8,5
2014,6,June,768,9,6
2014,7,July,791,12,2
2014,8,August,754,7,3
2014,9,September,727,8,3
2014,10,October,726,9,3
2014,11,November,646,4,6
2014,12,December,653,6,3
2015,1,January,687,9,5
2015,2,February,623,9,1
2015,3,March,667,10,5
2015,4,April,607,9,0
2015,5,May,604,4,4
2015,6,June,723,7,3
2015,7,July,701,9,2
2015,8,August,751,5,4
2015,9,September,668,8,2
2015,10,October,610,7,0
2015,11,November,476,5,0
2015,12,December,461,4,3
2016,1,January,561,3,3
2016,2,February,501,4,1
2016,3,March,579,8,3
2016,4,April,498,3,2
2016,5,May,526,3,2
2016,6,June,552,9,3
2016,7,July,513,6,2
2016,8,August,675,7,1
2016,9,September,569,2,3
2016,10,October,580,2,1
2016,11,November,460,6,0
2016,12,December,473,2,3
2017,1,January,532,5,2
2017,2,February,535,3,3
2017,3,March,571,3,3
2017,4,April,494,6,0
2017,5,May,581,1,2
2017,6,June,562,3,3
2017,7,July,594,6,4
2017,8,August,639,11,2
2017,9,September,508,7,3
2017,10,October,592,6,3
2017,11,November,478,2,0
2017,12,December,428,6,2